	at io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at java.lang.Thread.run(Thread.java:832) [?:?]
ACTOR_DEBUG | 2020-05-12 23:49:02 | [nioEventLoopGroup-4-2] actor.Actor$ServerHandler (Actor.java:585) - [Xander]'s server handler has been instantiated.
ACTOR_DEBUG | 2020-05-12 23:49:02 | [nioEventLoopGroup-4-2] actor.Actor$2 (Actor.java:197) - Channel pipeline [c8d76d30] to Server [Xander] has been initialized.
ACTOR_INFO | 2020-05-12 23:49:02 | [nioEventLoopGroup-4-2] actor.Actor$ServerHandler (Actor.java:608) - [Xander] received a roll-call request from [Lexa], who is on port 4000.
WARN  | 2020-05-12 23:49:02 | [nioEventLoopGroup-4-2] channel.DefaultChannelPipeline (DefaultChannelPipeline.java:1152) - An exceptionCaught() event was fired, and it reached at the tail of the pipeline. It usually means the last handler in the pipeline did not handle the exception.
java.lang.NullPointerException: null
	at jason.playbill.actor.Contact.<init>(Contact.java:28) ~[alex/:?]
	at jason.playbill.actor.Actor$ServerHandler.channelRead(Actor.java:610) ~[alex/:?]
	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:377) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:363) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:355) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:321) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:295) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:377) [netty-all-4.1.45.Final.jar:4.1.45.Final]
	at io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:363) [netty-all-4.1.45.Final.jar:4.1.45.Final]
